Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

LinkText, stampa tutto, 0.300, 0.091, 0.000, 0.046
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.067
XPath, .//*[@id='view']/tbody/tr/td[2], 0.775, 0.133, 0.000, 0.067
